window,entry_z,exit_z,stop_z,stake,long_only,delta,R,final_value,total_return,sharpe_ratio,max_dd_pct,max_dd_abs,total_trades,n_days
45,2.0,0.5,3.5,50,False,1e-05,0.001,99819.10340708928,-0.0018089659291071758,-0.0017672338598063522,1.849913079082917,1881.370365814233,106,1255
45,2.0,0.5,4.0,50,False,1e-05,0.001,99819.10340708928,-0.0018089659291071758,-0.0017672338598063522,1.849913079082917,1881.370365814233,106,1255
60,2.0,0.5,3.5,50,False,1e-05,0.001,99813.29104734803,-0.0018670895265197052,-0.001787556573877084,2.2685550442368765,2316.8791271820082,102,1255
45,2.0,0.5,3.5,75,False,1e-05,0.001,99695.37821743765,-0.0030462178256234207,-0.00187545013887319,2.755580039704143,2825.0319594573375,106,1255
45,2.0,0.5,4.0,75,False,1e-05,0.001,99695.37821743765,-0.0030462178256234207,-0.00187545013887319,2.755580039704143,2825.0319594573375,106,1255
60,2.0,0.5,3.5,75,False,1e-05,0.001,99676.65891911325,-0.0032334108088675206,-0.0019665717781272526,3.3686405030358957,3474.80188822934,102,1255
90,2.5,0.5,3.5,75,False,1e-05,0.001,99792.3652543945,-0.0020763474560548945,-0.003166561239325798,1.3659136408868873,1372.2752489318664,40,1255
90,2.5,0.5,3.5,25,False,1e-05,0.001,99932.75017918399,-0.0006724982081600661,-0.0031795939282528987,0.4590410393776379,460.8478157043428,40,1255
90,2.5,0.5,3.5,50,False,1e-05,0.001,99860.83767558286,-0.0013916232441713028,-0.0032498306817647558,0.9117489879983077,914.5950393524254,40,1255
90,2.5,0.5,4.0,75,False,1e-05,0.001,99597.01195811463,-0.004029880418853771,-0.006347617043728899,1.53988746427695,1557.668239898645,40,1255
90,2.5,0.5,4.0,25,False,1e-05,0.001,99866.47408818055,-0.0013352591181945428,-0.00636471146477449,0.5250572917354692,527.1239067077549,40,1255
90,2.5,0.5,4.0,50,False,1e-05,0.001,99728.285493576,-0.002717145064240034,-0.006470715739459807,1.0372963389135874,1045.3209300231829,40,1255
60,2.5,0.5,3.5,75,True,1e-05,0.001,99308.46932836922,-0.006915306716307801,-0.029204829691683813,0.6915306716307968,691.5306716307969,12,1255
60,2.5,0.5,4.0,75,True,1e-05,0.001,99308.46932836922,-0.006915306716307801,-0.029204829691683813,0.6915306716307968,691.5306716307969,12,1255
60,2.5,0.5,3.5,25,True,1e-05,0.001,99766.93355682374,-0.0023306644317625524,-0.029366590603153445,0.23306644317625613,233.06644317625614,12,1255
60,2.5,0.5,4.0,25,True,1e-05,0.001,99766.93355682374,-0.0023306644317625524,-0.029366590603153445,0.23306644317625613,233.06644317625614,12,1255
60,2.5,0.5,3.5,50,True,1e-05,0.001,99532.28499472048,-0.0046771500527952314,-0.029456313558304633,0.46771500527956233,467.7150052795623,12,1255
60,2.5,0.5,4.0,50,True,1e-05,0.001,99532.28499472048,-0.0046771500527952314,-0.029456313558304633,0.46771500527956233,467.7150052795623,12,1255
90,2.0,0.5,3.5,25,True,1e-05,0.001,99499.03605934147,-0.005009639406585387,-0.03212709845515358,0.5659613519599123,566.3313059844513,38,1255
90,2.0,0.5,3.5,50,True,1e-05,0.001,98996.79995666519,-0.010032000433348176,-0.03252298958519521,1.1231990380352432,1124.5621763457602,38,1255
90,2.0,0.5,3.5,75,True,1e-05,0.001,98490.83556503295,-0.015091644349670585,-0.03279196632512171,1.68532496853588,1688.3447389373905,38,1255
45,2.0,0.5,3.5,25,True,1e-05,0.001,98803.7002113799,-0.011962997886201032,-0.034034860582507084,1.3828338626496814,1385.4494887542387,46,1255
45,2.0,0.5,4.0,25,True,1e-05,0.001,98803.7002113799,-0.011962997886201032,-0.034034860582507084,1.3828338626496814,1385.4494887542387,46,1255
45,2.0,0.5,3.5,50,True,1e-05,0.001,97637.53464991765,-0.023624653500823434,-0.03406388481385437,2.7249393422140855,2735.093225799559,46,1255
45,2.0,0.5,4.0,50,True,1e-05,0.001,97637.53464991765,-0.023624653500823434,-0.03406388481385437,2.7249393422140855,2735.093225799559,46,1255
45,2.0,0.5,3.5,75,True,1e-05,0.001,96453.44252839661,-0.03546557471603384,-0.03416783602272339,4.079974537608317,4102.663522903458,46,1255
45,2.0,0.5,4.0,75,True,1e-05,0.001,96453.44252839661,-0.03546557471603384,-0.03416783602272339,4.079974537608317,4102.663522903458,46,1255
90,2.0,0.5,4.0,25,True,1e-05,0.001,99432.75996833805,-0.005672400316619419,-0.03609393635824443,0.632194148329356,632.6073969878635,38,1255
90,2.0,0.5,4.0,50,True,1e-05,0.001,98864.24777465835,-0.011357522253416574,-0.03654046663184278,1.2555905468830046,1257.1143583525845,38,1255
90,2.0,0.5,4.0,75,True,1e-05,0.001,98295.48226875304,-0.017045177312469573,-0.03677841107453394,1.8803288562570144,1883.6980352172977,38,1255
45,2.5,0.5,3.5,75,True,1e-05,0.001,99071.22133808903,-0.009287786619109673,-0.03737917730409571,0.9287786619109829,928.7786619109829,16,1255
45,2.5,0.5,4.0,75,True,1e-05,0.001,99071.22133808903,-0.009287786619109673,-0.03737917730409571,0.9287786619109829,928.7786619109829,16,1255
45,2.5,0.5,3.5,25,True,1e-05,0.001,99686.80698698429,-0.0031319301301571123,-0.03757344029865552,0.31319301301572705,313.19301301572705,16,1255
45,2.5,0.5,4.0,25,True,1e-05,0.001,99686.80698698429,-0.0031319301301571123,-0.03757344029865552,0.31319301301572705,313.19301301572705,16,1255
45,2.5,0.5,3.5,50,True,1e-05,0.001,99373.59771466067,-0.006264022853393225,-0.0375947216269226,0.6264022853393836,626.4022853393835,16,1255
45,2.5,0.5,4.0,50,True,1e-05,0.001,99373.59771466067,-0.006264022853393225,-0.0375947216269226,0.6264022853393836,626.4022853393835,16,1255
90,2.5,0.5,3.5,25,True,1e-05,0.001,99544.594549942,-0.004554054500579996,-0.04507245941125175,0.49212548543518714,492.307087799054,14,1255
